campaign_id,week_number,week_date,spend,impressions,clicks,conversions
24,2,2025-10-10,124.72,15590,995,22
24,3,2025-10-17,7.86,982,63,2
25,0,2026-02-13,588.56,49047,1778,51
25,1,2026-02-20,589.16,49097,1779,51
25,2,2026-02-27,58.58,4882,177,5
25,3,2026-03-06,234.36,19530,708,20
25,4,2026-03-13,1100.88,91740,3325,96
25,5,2026-03-20,920.02,76668,2779,80
25,6,2026-03-27,915.48,76290,2766,80
25,7,2026-04-03,434.88,36240,1314,38
25,8,2026-04-10,500.05,41671,1510,44
25,9,2026-04-17,109.07,9089,330,10
25,10,2026-04-24,350.57,29214,1059,30
25,11,2026-05-01,695.87,57989,2102,60
26,0,2025-11-28,51.06,5673,67,3
26,1,2025-12-05,48.63,5403,64,4
26,2,2025-12-12,14.23,1581,19,1
26,3,2025-12-19,104.38,11598,138,8
27,0,2026-07-31,14.08,1564,21,2
27,1,2026-08-07,4.19,465,6,0
27,2,2026-08-14,5.64,627,9,0
27,3,2026-08-21,5.1,567,8,1
27,4,2026-08-28,7.2,800,11,1
27,5,2026-09-04,9.96,1107,14,2
27,6,2026-09-11,10.73,1192,16,2
28,0,2026-05-22,466.29,31086,735,25
28,1,2026-05-29,53.66,3577,84,2
28,2,2026-06-05,372.46,24831,587,20
28,3,2026-06-12,434.69,28979,684,23
28,4,2026-06-19,856.65,57110,1349,45
29,0,2026-03-20,259.22,32402,1908,42
29,1,2026-03-27,324.14,40517,2385,52
29,2,2026-04-03,1153.61,144201,8490,186
29,3,2026-04-10,509.03,63629,3745,83
30,0,2025-10-10,125.71,15714,944,41
30,1,2025-10-17,262.09,32761,1966,84
31,0,2026-04-17,542.05,90342,0,43
31,1,2026-04-24,69.84,11640,0,5
32,0,2026-08-14,325.58,40698,2238,88
32,1,2026-08-21,96.41,12051,662,26
32,2,2026-08-28,187.47,23434,1289,51
32,3,2026-09-04,364.51,45564,2505,98
32,4,2026-09-11,326.51,40814,2245,89
32,5,2026-09-18,552.91,69114,3801,150
32,6,2026-09-25,138.67,17334,953,38
32,7,2026-10-02,253.19,31649,1740,69
33,0,2025-12-12,103.18,11464,168,7
33,1,2025-12-19,304.0,33778,496,21
33,2,2025-12-26,248.35,27595,406,17
33,3,2026-01-02,142.16,15795,233,10
33,4,2026-01-09,255.26,28362,417,18
33,5,2026-01-16,498.68,55409,815,35
33,6,2026-01-23,36.23,4026,59,3
33,7,2026-01-30,77.03,8559,126,5
33,8,2026-02-06,154.83,17203,253,11
33,9,2026-02-13,301.13,33459,492,20
33,10,2026-02-20,244.12,27124,399,17
33,11,2026-02-27,300.43,33381,491,21
34,0,2026-06-05,45.11,5012,104,5
34,1,2026-06-12,29.46,3273,67,2
34,2,2026-06-19,201.58,22398,463,19
34,3,2026-06-26,66.58,7398,153,7
34,4,2026-07-03,64.83,7203,149,6
34,5,2026-07-10,34.76,3862,80,4
34,6,2026-07-17,187.58,20842,430,17
34,7,2026-07-24,47.57,5286,109,4
34,8,2026-07-31,93.5,10389,215,9
35,0,2025-11-28,160.16,17796,164,10
35,1,2025-12-05,206.24,22916,212,12
35,2,2025-12-12,144.71,16079,149,9
35,3,2025-12-19,80.18,8909,82,5
35,4,2025-12-26,194.59,21621,200,11
35,5,2026-01-02,160.78,17864,165,10
35,6,2026-01-09,156.27,17363,161,9
35,7,2026-01-16,179.69,19966,184,10
35,8,2026-01-23,18.7,2078,19,1
36,0,2025-11-28,237.34,26371,321,15
36,1,2025-12-05,144.54,16060,196,9
36,2,2025-12-12,7.16,795,10,0
36,3,2025-12-19,48.16,5351,66,2
36,4,2025-12-26,117.75,13083,159,7
36,5,2026-01-02,59.86,6651,81,4
36,6,2026-01-09,630.51,70057,855,39
36,7,2026-01-16,103.06,11451,139,6
36,8,2026-01-23,50.22,5580,68,3
37,0,2025-10-31,807.09,53806,1476,46
37,1,2025-11-07,1406.03,93735,2571,80
37,2,2025-11-14,1940.22,129348,3547,111
38,0,2026-05-29,56.3,9384,0,4
38,1,2026-06-05,164.58,27430,0,13
38,2,2026-06-12,230.58,38430,0,19
38,3,2026-06-19,77.0,12833,0,7
38,4,2026-06-26,285.78,47630,0,24
39,0,2025-11-14,21.69,3615,30,2
39,1,2025-11-21,35.56,5927,50,3
39,2,2025-11-28,5.12,853,7,1
39,3,2025-12-05,7.2,1200,11,1
39,4,2025-12-12,90.97,15161,128,9
39,5,2025-12-19,42.28,7047,59,4
40,0,2026-01-02,940.85,104539,2415,91
40,1,2026-01-09,1609.12,178791,4130,156
40,2,2026-01-16,79.47,8830,204,7
41,0,2026-01-02,77.45,9681,534,20
41,1,2026-01-09,126.72,15840,874,33
41,2,2026-01-16,3.45,431,24,0
41,3,2026-01-23,170.3,21287,1174,44
42,0,2026-02-20,12.58,1573,102,5
42,1,2026-02-27,9.18,1147,74,4
42,2,2026-03-06,1.38,173,11,1
42,3,2026-03-13,18.64,2330,151,7
42,4,2026-03-20,13.69,1711,111,5
42,5,2026-03-27,14.24,1780,116,5
42,6,2026-04-03,49.66,6207,402,18
42,7,2026-04-10,5.06,632,41,1
42,8,2026-04-17,13.94,1743,113,5
42,9,2026-04-24,3.98,498,32,1
42,10,2026-05-01,12.9,1612,105,5
42,11,2026-05-08,19.11,2389,155,7
43,0,2026-07-17,24.86,1657,38,1
43,1,2026-07-24,57.16,3811,86,2
43,2,2026-07-31,19.06,1271,29,1
43,3,2026-08-07,23.36,1557,35,1
43,4,2026-08-14,8.09,539,12,1
43,5,2026-08-21,9.68,645,15,0
43,6,2026-08-28,57.28,3819,86,2
43,7,2026-09-04,30.48,2032,47,1
43,8,2026-09-11,70.55,4703,107,3
43,9,2026-09-18,18.79,1253,29,1
43,10,2026-09-25,5.59,373,9,0
44,0,2026-05-08,20.28,1352,21,1
44,1,2026-05-15,98.56,6571,103,4
44,2,2026-05-22,225.56,15037,236,11
44,3,2026-05-29,137.44,9163,143,7
44,4,2026-06-05,271.44,18096,283,14
44,5,2026-06-12,130.68,8712,136,7
44,6,2026-06-19,283.53,18902,296,14
44,7,2026-06-26,63.9,4260,67,3
45,0,2026-02-20,12.0,1333,18,2
45,1,2026-02-27,22.94,2549,37,3
45,2,2026-03-06,18.01,2001,28,2
45,3,2026-03-13,28.57,3174,45,3
45,4,2026-03-20,30.46,3384,48,3
45,5,2026-03-27,21.06,2340,33,2
45,6,2026-04-03,9.81,1090,16,1
46,0,2026-03-13,40.87,3406,118,2
46,1,2026-03-20,421.73,35144,1212,22
46,2,2026-03-27,863.47,71956,2480,46
46,3,2026-04-03,309.86,25822,890,17
47,0,2026-01-09,2498.98,166599,3244,139
47,1,2026-01-16,159.38,10625,207,8
47,2,2026-01-23,1506.81,100454,1957,84
47,3,2026-01-30,213.34,14223,277,12
47,4,2026-02-06,620.36,41357,805,34
47,5,2026-02-13,270.92,18061,352,15
47,6,2026-02-20,540.96,36064,702,30
47,7,2026-02-27,1786.0,119067,2319,98
48,0,2025-09-05,206.42,34404,0,18
48,1,2025-09-12,73.77,12295,0,6
48,2,2025-09-19,27.61,4602,0,2
48,3,2025-09-26,57.41,9568,0,5
48,4,2025-10-03,149.59,24931,0,13
49,0,2026-06-26,22.31,1859,82,1
49,1,2026-07-03,73.06,6088,272,4
49,2,2026-07-10,145.84,12153,541,7
49,3,2026-07-17,311.63,25969,1158,16
49,4,2026-07-24,303.65,25304,1128,15
50,0,2025-11-21,1131.19,75413,598,56
50,1,2025-11-28,740.85,49390,392,38
50,2,2025-12-05,1569.19,104613,829,79
51,0,2026-05-01,97.22,6481,188,4
51,1,2026-05-08,51.47,3431,99,3
51,2,2026-05-15,53.69,3579,104,3
51,3,2026-05-22,40.54,2703,78,2
52,0,2026-08-21,24.66,1644,29,0
52,1,2026-08-28,37.66,2511,44,0
52,2,2026-09-04,4.29,286,5,1
52,3,2026-09-11,13.14,876,16,0
52,4,2026-09-18,27.68,1845,32,0
52,5,2026-09-25,85.94,5729,99,2
52,6,2026-10-02,23.86,1591,27,1
52,7,2026-10-09,13.59,906,15,1
52,8,2026-10-16,1.3,87,1,0
52,9,2026-10-23,67.91,4527,78,2
52,10,2026-10-30,24.87,1658,29,1
52,11,2026-11-06,17.98,1199,21,0
53,0,2026-04-03,33.64,5606,14,1
53,1,2026-04-10,59.54,9924,25,3
53,2,2026-04-17,146.93,24489,62,7
53,3,2026-04-24,216.71,36119,92,11
53,4,2026-05-01,68.98,11497,29,4
53,5,2026-05-08,72.43,12071,31,4
53,6,2026-05-15,182.65,30442,77,10
53,7,2026-05-22,463.55,77259,195,23
53,8,2026-05-29,122.76,20460,52,6
54,0,2026-03-06,305.11,33901,341,25
54,1,2026-03-13,397.75,44195,446,32
54,2,2026-03-20,233.98,25998,262,19
54,3,2026-03-27,34.93,3881,40,3
54,4,2026-04-03,229.36,25484,257,19
54,5,2026-04-10,26.54,2949,30,3
54,6,2026-04-17,143.37,15930,160,12
55,0,2025-12-12,438.59,29239,456,25
55,1,2025-12-19,226.25,15083,235,13
55,2,2025-12-26,283.31,18887,295,16
55,3,2026-01-02,367.78,24519,383,21
56,0,2026-06-12,585.26,48772,1627,35
56,1,2026-06-19,361.88,30157,1006,21
57,0,2026-04-17,270.41,18027,310,13
57,1,2026-04-24,173.41,11561,199,8
57,2,2026-05-01,763.37,50891,875,35
57,3,2026-05-08,1164.31,77621,1335,54
57,4,2026-05-15,760.89,50726,872,35
57,5,2026-05-22,312.09,20806,357,14
58,0,2026-04-03,101.9,12738,766,22
58,1,2026-04-10,125.42,15678,944,27
58,2,2026-04-17,132.04,16505,993,28
59,0,2026-02-27,12.88,3220,39,5
59,1,2026-03-06,5.5,1376,17,3
59,2,2026-03-13,18.18,4546,56,7
59,3,2026-03-20,21.66,5416,67,8
59,4,2026-03-27,2.63,657,8,1
59,5,2026-04-03,3.82,955,12,1
59,6,2026-04-10,8.24,2059,26,3
59,7,2026-04-17,0.64,159,2,1
60,0,2026-03-06,40.82,5102,300,9
60,1,2026-03-13,155.45,19431,1143,35
60,2,2026-03-20,90.04,11255,662,20
60,3,2026-03-27,61.57,7696,453,14
60,4,2026-04-03,74.65,9331,549,16
60,5,2026-04-10,32.7,4087,241,7
60,6,2026-04-17,42.72,5340,314,10
60,7,2026-04-24,41.39,5174,304,9
60,8,2026-05-01,26.95,3369,198,6
61,0,2026-02-20,52.03,8672,0,5
61,1,2026-02-27,16.63,2771,0,2
61,2,2026-03-06,18.91,3152,0,2
61,3,2026-03-13,9.56,1594,0,1
61,4,2026-03-20,23.74,3956,0,2
61,5,2026-03-27,8.45,1409,0,0
61,6,2026-04-03,15.87,2645,0,1
61,7,2026-04-10,4.0,666,0,0
62,0,2025-12-26,55.75,6969,370,16
62,1,2026-01-02,195.15,24394,1296,53
62,2,2026-01-09,48.6,6075,323,13
62,3,2026-01-16,43.41,5426,288,12
62,4,2026-01-23,712.49,89061,4730,193
62,5,2026-01-30,141.5,17688,939,38
62,6,2026-02-06,90.25,11281,599,24
62,7,2026-02-13,81.73,10216,542,22
62,8,2026-02-20,33.37,4171,221,9
63,0,2025-09-12,31.51,3501,51,3
63,1,2025-09-19,65.28,7253,105,7
63,2,2025-09-26,72.84,8093,117,8
63,3,2025-10-03,82.41,9157,133,8
63,4,2025-10-10,80.64,8960,131,8
63,5,2025-10-17,23.06,2562,37,2
64,0,2026-08-14,181.74,20193,381,16
64,1,2026-08-21,60.2,6689,126,5
64,2,2026-08-28,118.97,13219,250,11
64,3,2026-09-04,470.3,52255,985,43
64,4,2026-09-11,165.85,18428,348,15
64,5,2026-09-18,131.06,14562,275,12
64,6,2026-09-25,89.35,9928,187,8
64,7,2026-10-02,60.81,6757,127,6
64,8,2026-10-09,146.57,16286,307,13
64,9,2026-10-16,154.19,17132,323,14
64,10,2026-10-23,112.87,12541,237,10
65,0,2025-12-12,458.64,50960,548,34
65,1,2025-12-19,393.55,43728,470,29
65,2,2025-12-26,1269.24,141027,1515,93
66,0,2026-07-31,23.86,2982,165,4
66,1,2026-08-07,66.58,8322,461,11
66,2,2026-08-14,50.62,6327,351,8
66,3,2026-08-21,49.2,6150,340,9
66,4,2026-08-28,37.23,4654,257,7
66,5,2026-09-04,62.61,7826,433,11
67,0,2026-03-20,90.45,11306,683,33
67,1,2026-03-27,214.71,26839,1622,80
67,2,2026-04-03,273.5,34187,2066,101
68,0,2026-06-19,31.58,7895,100,19
68,1,2026-06-26,4.56,1141,14,2
68,2,2026-07-03,21.14,5284,67,12
68,3,2026-07-10,8.66,2166,28,5
68,4,2026-07-17,35.72,8930,114,21
69,0,2026-08-28,231.3,25700,246,19
69,1,2026-09-04,161.97,17997,172,14
69,2,2026-09-11,44.23,4915,46,4
69,3,2026-09-18,93.17,10352,99,7
69,4,2026-09-25,337.39,37488,358,28
69,5,2026-10-02,312.23,34692,331,25
70,0,2025-10-24,19.01,1584,51,1
70,1,2025-10-31,28.9,2408,77,2
70,2,2025-11-07,34.79,2899,92,1
70,3,2025-11-14,35.23,2936,93,2
70,4,2025-11-21,29.84,2487,79,2
70,5,2025-11-28,37.49,3124,100,2
70,6,2025-12-05,38.53,3211,102,2
70,7,2025-12-12,23.0,1917,61,1
70,8,2025-12-19,66.48,5540,176,4
70,9,2025-12-26,28.85,2404,77,1
70,10,2026-01-02,41.64,3470,110,2
70,11,2026-01-09,75.06,6255,200,5
71,0,2026-04-10,416.65,69441,113,33
71,1,2026-04-17,511.82,85303,138,40
71,2,2026-04-24,138.52,23086,37,11
71,3,2026-05-01,833.94,138990,225,67
72,0,2026-07-17,61.46,5122,155,5
72,1,2026-07-24,114.84,9570,289,12
72,2,2026-07-31,42.79,3566,108,4
72,3,2026-08-07,39.19,3266,99,3
72,4,2026-08-14,106.07,8839,267,11
72,5,2026-08-21,63.53,5294,160,6
72,6,2026-08-28,108.71,9059,274,11
72,7,2026-09-04,82.81,6901,208,8
72,8,2026-09-11,22.62,1885,57,3
72,9,2026-09-18,56.87,4739,143,5
73,0,2025-10-31,63.03,4202,72,2
73,1,2025-11-07,14.28,952,16,1
73,2,2025-11-14,25.58,1705,29,1
73,3,2025-11-21,52.59,3506,60,1
73,4,2025-11-28,26.54,1769,30,1
73,5,2025-12-05,126.86,8457,145,4
74,0,2025-09-26,8.26,1376,0,1
74,1,2025-10-03,23.76,3960,0,1
74,2,2025-10-10,14.72,2454,0,1
74,3,2025-10-17,18.69,3115,0,2
74,4,2025-10-24,43.1,7184,0,4
74,5,2025-10-31,18.36,3060,0,2
74,6,2025-11-07,34.26,5710,0,3
74,7,2025-11-14,12.05,2009,0,0
75,0,2026-08-28,42.12,3510,103,2
75,1,2026-09-04,1180.72,98393,2891,60
75,2,2026-09-11,621.56,51797,1522,31
75,3,2026-09-18,734.33,61194,1798,36
75,4,2026-09-25,976.92,81410,2393,49
75,5,2026-10-02,672.61,56051,1648,34
75,6,2026-10-09,402.43,33536,986,20
76,0,2025-09-26,174.93,19437,403,11
76,1,2025-10-03,131.89,14654,303,9
76,2,2025-10-10,241.84,26871,558,17
77,0,2026-02-20,38.06,6343,0,2
77,1,2026-02-27,4.07,679,0,0
77,2,2026-03-06,30.4,5066,0,2
77,3,2026-03-13,74.64,12440,0,3
77,4,2026-03-20,110.02,18336,0,6
77,5,2026-03-27,42.93,7155,0,2
77,6,2026-04-03,122.28,20380,0,6
77,7,2026-04-10,17.97,2995,0,1
77,8,2026-04-17,57.2,9533,0,2
78,0,2025-12-12,192.67,21408,263,13
78,1,2025-12-19,88.53,9837,121,6
78,2,2025-12-26,34.39,3821,46,2
78,3,2026-01-02,64.88,7209,89,4
78,4,2026-01-09,21.45,2383,30,2
78,5,2026-01-16,135.29,15032,185,10
78,6,2026-01-23,55.07,6119,75,4
78,7,2026-01-30,42.55,4728,58,3
78,8,2026-02-06,144.7,16078,197,10
79,0,2026-06-26,89.66,9962,101,6
79,1,2026-07-03,185.6,20622,209,13
79,2,2026-07-10,137.06,15229,155,9
79,3,2026-07-17,889.3,98811,1003,61
79,4,2026-07-24,27.86,3095,32,2
79,5,2026-07-31,102.2,11355,115,7
79,6,2026-08-07,128.39,14266,145,8
79,7,2026-08-14,90.23,10026,102,6
79,8,2026-08-21,292.03,32448,330,20
79,9,2026-08-28,115.49,12832,130,8
79,10,2026-09-04,52.79,5865,59,3
80,0,2026-06-26,15.93,1991,131,4
80,1,2026-07-03,18.24,2280,150,4
80,2,2026-07-10,17.02,2127,141,4
80,3,2026-07-17,13.06,1632,107,3
80,4,2026-07-24,12.82,1602,106,3
80,5,2026-07-31,12.14,1518,100,3
80,6,2026-08-07,14.83,1854,122,4
80,7,2026-08-14,27.72,3465,229,7
80,8,2026-08-21,15.52,1940,128,4
80,9,2026-08-28,2.29,286,19,1
81,0,2026-05-22,305.68,76421,0,140
81,1,2026-05-29,92.37,23093,0,43
81,2,2026-06-05,358.53,89633,0,165
82,0,2026-03-13,367.93,30661,1008,15
82,1,2026-03-20,314.94,26245,863,12
83,0,2025-11-28,58.85,14713,85,30
83,1,2025-12-05,11.29,2823,16,5
83,2,2025-12-12,47.2,11801,67,24
83,3,2025-12-19,13.79,3448,20,7
83,4,2025-12-26,18.14,4534,26,9
83,5,2026-01-02,12.92,3231,19,6
84,0,2026-06-05,97.52,8127,184,6
84,1,2026-06-12,101.56,8463,192,7
84,2,2026-06-19,70.28,5857,133,4
84,3,2026-06-26,22.21,1851,42,1
84,4,2026-07-03,51.32,4277,98,4
84,5,2026-07-10,188.65,15721,356,12
85,0,2026-03-06,59.87,6652,133,4
85,1,2026-03-13,167.76,18640,371,13
85,2,2026-03-20,64.54,7171,143,5
85,3,2026-03-27,51.4,5711,113,4
85,4,2026-04-03,16.19,1799,36,1
85,5,2026-04-10,34.36,3818,76,3
85,6,2026-04-17,25.22,2802,55,2
85,7,2026-04-24,98.1,10900,216,7
85,8,2026-05-01,71.13,7903,158,5
85,9,2026-05-08,9.74,1082,21,1
85,10,2026-05-15,25.56,2840,57,2
85,11,2026-05-22,74.01,8223,163,6
86,0,2026-06-26,62.64,6960,69,3
86,1,2026-07-03,39.33,4370,43,2
86,2,2026-07-10,19.24,2138,21,1
86,3,2026-07-17,62.12,6902,69,3
86,4,2026-07-24,40.86,4540,45,2
86,5,2026-07-31,25.82,2869,29,2
86,6,2026-08-07,60.98,6776,67,3
86,7,2026-08-14,68.48,7609,75,3
86,8,2026-08-21,84.86,9429,94,4
86,9,2026-08-28,17.41,1934,19,1
86,10,2026-09-04,77.55,8617,85,4
86,11,2026-09-11,26.23,2914,28,1
87,0,2026-07-17,90.56,11320,697,27
87,1,2026-07-24,106.75,13344,822,31
87,2,2026-07-31,166.4,20800,1281,49
87,3,2026-08-07,152.82,19103,1177,45
87,4,2026-08-14,51.05,6381,393,15
87,5,2026-08-21,456.29,57036,3513,134
87,6,2026-08-28,499.93,62491,3849,146
87,7,2026-09-04,446.38,55798,3437,131
87,8,2026-09-11,511.39,63924,3937,149
87,9,2026-09-18,755.03,94379,5813,221
87,10,2026-09-25,92.14,11517,709,27
87,11,2026-10-02,733.82,91728,5649,215
88,0,2025-09-19,42.05,2803,61,3
88,1,2025-09-26,22.19,1479,33,1
88,2,2025-10-03,9.64,643,14,1
88,3,2025-10-10,46.44,3096,68,3
88,4,2025-10-17,9.12,608,13,1
88,5,2025-10-24,23.22,1548,34,1
88,6,2025-10-31,28.44,1896,41,1
88,7,2025-11-07,37.09,2473,53,3
88,8,2025-11-14,39.66,2644,57,3
88,9,2025-11-21,9.0,600,13,1
88,10,2025-11-28,13.77,918,20,1
88,11,2025-12-05,13.88,925,21,0
89,0,2026-03-06,258.15,28683,334,13
89,1,2026-03-13,429.31,47701,557,22
89,2,2026-03-20,326.36,36262,423,17
89,3,2026-03-27,54.08,6009,71,2
90,0,2026-06-26,39.71,3309,96,4
90,1,2026-07-03,104.26,8688,254,11
90,2,2026-07-10,132.88,11073,324,14
90,3,2026-07-17,97.64,8137,238,10
90,4,2026-07-24,78.72,6560,192,8
90,5,2026-07-31,43.66,3638,107,5
90,6,2026-08-07,131.18,10932,320,14
90,7,2026-08-14,84.68,7057,206,8
90,8,2026-08-21,52.49,4374,128,5
90,9,2026-08-28,190.08,15840,463,19
90,10,2026-09-04,120.16,10013,292,13
91,0,2026-06-05,165.22,13768,461,11
91,1,2026-06-12,145.62,12135,405,10
91,2,2026-06-19,153.88,12823,429,10
91,3,2026-06-26,131.99,10999,368,8
91,4,2026-07-03,34.81,2901,97,3
92,0,2025-09-19,113.58,12620,259,5
92,1,2025-09-26,117.65,13072,268,6
92,2,2025-10-03,167.22,18580,382,8
92,3,2025-10-10,85.55,9506,195,4
92,4,2025-10-17,136.81,15201,312,7
93,0,2025-09-19,8.11,901,7,1
93,1,2025-09-26,4.42,491,4,0
93,2,2025-10-03,7.86,873,7,0
93,3,2025-10-10,24.8,2756,21,1
93,4,2025-10-17,22.09,2454,19,2
93,5,2025-10-24,25.05,2783,21,1
93,6,2025-10-31,14.25,1583,12,1
93,7,2025-11-07,16.71,1857,15,1
93,8,2025-11-14,5.62,624,5,0
93,9,2025-11-21,21.58,2398,18,1
94,0,2025-11-21,153.6,17067,222,8
94,1,2025-11-28,31.61,3512,46,2
94,2,2025-12-05,26.65,2961,38,1
94,3,2025-12-12,13.77,1530,20,0
94,4,2025-12-19,36.13,4014,52,2
94,5,2025-12-26,42.35,4706,62,2
94,6,2026-01-02,33.42,3713,48,2
94,7,2026-01-09,30.88,3431,45,1
94,8,2026-01-16,69.66,7740,100,4
94,9,2026-01-23,35.04,3893,50,2
94,10,2026-01-30,75.02,8336,109,4
95,0,2026-08-14,29.04,3227,50,2
95,1,2026-08-21,51.98,5776,88,4
95,2,2026-08-28,7.08,787,12,0
