campaign_id,channel,start_date,duration_weeks,audience_size,has_holdout_test,holdout_size,measured_organic_rate
131,paid_social,2026-07-10,3,22079,False,0,
132,influencer,2026-02-27,3,6844,False,0,
133,paid_search_nonbrand,2026-07-24,8,7902,False,0,
134,paid_search_nonbrand,2025-12-19,7,7724,True,772,0.0038860103626943004
135,paid_search_nonbrand,2026-03-20,9,813,False,0,
136,paid_search_nonbrand,2026-01-02,10,42424,True,4242,0.0033003300330033004
137,paid_social,2026-01-02,5,5234,False,0,
138,display_retargeting,2025-10-31,6,14236,False,0,
139,paid_social,2025-11-21,8,21648,False,0,
140,paid_search_brand,2025-11-28,2,3744,False,0,
141,paid_social,2025-11-28,8,8043,False,0,
142,influencer,2026-03-06,10,11984,True,1198,0.0008347245409015025
143,paid_search_nonbrand,2025-09-05,7,28655,True,2865,0.0006980802792321117
144,paid_search_nonbrand,2026-06-26,10,58797,True,5879,0.002891648239496513
145,paid_search_nonbrand,2026-01-23,10,7124,False,0,
146,display_retargeting,2026-07-03,6,4015,False,0,
147,paid_social,2025-11-07,12,34513,True,3451,0.002028397565922921
148,paid_search_brand,2026-03-06,12,6862,False,0,
149,paid_search_brand,2026-02-20,6,6347,False,0,
150,display_retargeting,2026-04-10,7,32638,False,0,
